TimeMs,00:1c:f0:cb:ec:92.APRSSI
1305232041673,-73
1305232052189,-74
1305232052707,-67
1305232053255,-74
1305232053769,-67
1305232054322,-66
1305232054846,-75
1305232055404,-68
1305232055973,-74
1305232056488,-74
1305232057065,-68
1305232057627,-74
1305232058170,-76
1305232058700,-70
1305232059241,-76
1305232059782,-78
1305232060321,-68
1305232060838,-77
1305232061384,-70
1305232061928,-69
1305232062454,-76
1305232063002,-68
1305232063541,-69
1305232064081,
1305232064621,-70
1305232065188,-76
1305232065757,-75
1305232066307,-67
1305232066820,-75
1305232067364,-75
1305232067937,-69
1305232068458,-74
1305232069011,
1305232069572,-67
1305232070108,-81
1305232070638,
1305232071194,-67
1305232071754,-70
1305232072336,-72
1305232072864,-70
1305232073424,-75
1305232074031,-74
1305232074544,-71
1305232075116,-69
1305232075660,-72
1305232076210,-69
1305232076726,-74
1305232077265,-75
1305232077820,-71
1305232078347,-83
1305232078858,
1305232079399,-69
1305232079950,-73
1305232080513,-68
1305232081050,-69
1305232081602,-68
1305232082156,-66
1305232082667,-69
1305232083226,-65
1305232083784,-66
1305232084371,-68
1305232084891,
1305232085442,-64
1305232085952,-68
1305232086485,-65
1305232087044,-65
1305232087601,
1305232088162,
1305232088691,-67
1305232089250,-71
1305232089782,-65
1305232090330,
1305232090850,-68
1305232091387,-64
1305232091929,-69
1305232092460,-63
1305232093017,-63
1305232093562,-70
1305232094110,-66
1305232094639,-65
1305232095190,-67
1305232095740,-63
1305232096284,-66
1305232096821,-67
1305232097348,-65
1305232097891,-66
1305232098411,-68
1305232098928,-66
1305232099481,
1305232100048,-70
1305232100590,-66
1305232101138,-68
1305232101690,-65
1305232102242,
1305232102768,-67
1305232103313,
1305232103850,-67
1305232104409,-63
1305232104949,-70
1305232105486,-65
1305232106040,-68
1305232106579,-66
1305232107128,
1305232107673,-67
1305232108256,-70
1305232108787,-67
1305232109326,-70
1305232109876,-68
1305232110441,-64
1305232111012,-69
1305232111562,-71
1305232112097,-65
1305232112631,-66
1305232113197,-70
1305232113749,-66
1305232114295,
1305232114822,-68
1305232115386,-67
1305232115940,-67
1305232116460,-65
1305232116994,
1305232117537,-67
1305232118080,-64
1305232118601,-66
1305232119168,-70
1305232119711,-63
1305232120264,-67
1305232120787,-70
1305232121365,-64
1305232121903,-64
1305232122456,-67
1305232122972,-68
1305232123485,
1305232124013,-67
1305232124552,-63
1305232125108,-65
1305232125673,-69
1305232126248,-65
1305232126791,-64
1305232127354,-69
1305232127907,-70
1305232128463,
1305232128972,-69
1305232129534,-64
1305232130086,-65
1305232130610,-69
1305232131159,-72
1305232131695,-63
1305232132251,-69
1305232132793,-64
1305232133352,-63
1305232133911,-68
1305232134488,-71
1305232135005,-63
1305232135562,-69
1305232136114,-72
1305232136633,-67
1305232137177,-70
1305232137734,-71
1305232138279,-64
1305232138821,-70
1305232139381,-69
1305232139942,-64
1305232140476,-69
1305232140982,-69
1305232141521,-68
1305232142080,-70
1305232142609,-67
1305232143205,-68
1305232143757,-70
1305232144290,-68
1305232144808,-66
1305232145361,-73
1305232145886,-66
1305232146441,-66
1305232146966,-72
1305232147519,-68
1305232148044,-68
1305232148563,-70
1305232149106,-70
1305232149655,-69
1305232150200,-68
1305232150713,-68
1305232151253,-71
1305232151804,-70
1305232152339,-67
1305232152851,-72
1305232153403,-72
1305232153962,-68
1305232154533,-72
1305232155083,-70
1305232155635,-67
1305232156170,-72
1305232156681,-72
1305232157249,-67
1305232157798,-71
1305232158374,-70
1305232158919,-65
1305232159473,-72
1305232160021,-67
1305232160533,-66
1305232161100,-70
1305232161630,-67
1305232162169,-69
1305232162706,-72
1305232163267,-73
1305232163842,-68
1305232164405,-70
1305232164931,-71
1305232165476,-69
1305232166066,-70
1305232166594,
1305232167143,-66
1305232167700,-70
1305232168223,-70
1305232168733,-67
1305232169259,-69
1305232169769,-70
1305232170320,-65
1305232170845,-71
1305232171433,-68
1305232171943,-67
1305232172447,-69
1305232172958,
1305232173462,-65
1305232173965,-71
1305232174495,-67
1305232175016,-70
1305232175557,
1305232176063,-67
1305232176600,-69
1305232177111,-66
1305232177644,-67
1305232178232,-69
1305232178762,-66
1305232179317,-66
1305232179826,-69
1305232180326,-66
1305232180847,-67
1305232181409,-69
1305232181963,-65
1305232182520,-69
1305232183027,-71
1305232183537,-67
1305232184036,-71
1305232184560,-67
1305232185077,-68
1305232185608,-69
1305232186114,-69
1305232186649,-70
1305232187158,
1305232187662,-67
1305232188165,-69
1305232188667,-66
1305232189177,-71
1305232189691,-72
1305232190200,-69
1305232190712,-71
1305232191225,-66
1305232191726,-70
1305232192247,-72
1305232192767,-66
1305232193309,-70
1305232193823,-70
1305232194320,
1305232194822,-70
1305232195352,-71
1305232195854,-71
1305232196361,-73
1305232196874,-68
1305232197391,-71
1305232197936,-70
1305232198462,-68
1305232198982,-70
1305232199531,-68
1305232200074,-70
1305232200652,-72
1305232201168,-70
1305232201713,-70
1305232202253,-70
1305232202788,-70
1305232203316,-68
1305232203823,-70
1305232204326,-71
1305232204845,-71
1305232205391,-71
1305232205934,-71
1305232206475,-70
1305232206996,-69
1305232207548,-70
1305232208119,-69
1305232208702,-70
1305232209234,-69
1305232209784,-70
1305232210327,-72
1305232210846,
1305232211369,
1305232211895,-68
1305232212436,-70
1305232212953,-70
1305232213505,-71
1305232214054,-72
1305232214581,-72
1305232215093,-71
1305232215599,-71
1305232216132,-68
1305232216676,-70
1305232217189,-71
1305232217727,-68
1305232218263,
1305232218778,-67
1305232219321,-67
1305232219862,-70
1305232220391,-67
1305232220914,-67
1305232221485,-70
1305232222044,-67
1305232222581,-72
1305232223100,-74
1305232223656,-69
1305232224214,-72
1305232224743,-72
1305232225273,-71
1305232225830,-70
1305232226401,-70
1305232226934,-68
1305232227482,-69
1305232228051,-74
1305232228588,-70
1305232229110,-71
1305232229698,-67
1305232230266,-66
1305232230778,-72
1305232231313,-67
1305232231882,
1305232232426,-69
1305232232950,-73
1305232233528,-68
1305232234115,-65
1305232234658,-74
1305232235182,-69
1305232235725,-67
1305232236269,-71
1305232236777,-71
