starttime_asc,starttime,endtime,scaninfo.00:0C:42:68:DE:D3.signallevel,scaninfo.00:15:6D:65:17:B6.signallevel,scaninfo.00:15:6D:67:1D:F3.signallevel,scaninfo.00:19:5B:6C:BC:D9.signallevel,scaninfo.00:19:5B:6C:C0:25.signallevel,scaninfo.00:19:5B:6C:C0:2A.signallevel,scaninfo.00:19:5B:77:A5:EE.signallevel,scaninfo.00:19:5B:ED:BC:68.signallevel,scaninfo.00:1C:F0:CB:E9:21.signallevel,scaninfo.00:1C:F0:CB:E9:25.signallevel,scaninfo.00:1C:F0:CB:EC:14.signallevel,scaninfo.00:1C:F0:CB:EC:5B.signallevel,scaninfo.00:1C:F0:CB:EC:70.signallevel,scaninfo.00:1C:F0:CB:EC:89.signallevel,scaninfo.00:1C:F0:CB:EC:92.signallevel,scaninfo.00:1C:F0:CB:EC:95.signallevel,scaninfo.00:22:B0:42:7F:FB.signallevel
Wed Jan  5 18:55:43 2011,1294233943.97,1294233946.85,-84,,,,,,,,,,,-66,,,-51,-82,
Wed Jan  5 18:56:06 2011,1294233966.91,1294233969.69,,,,,,,,,,,,,,,,,
Wed Jan  5 18:56:29 2011,1294233989.75,1294233992.64,-81,,,,,,,,,,,-76,,,-53,,
Wed Jan  5 18:56:52 2011,1294234012.7,1294234015.47,,,,,,,,,,,,-76,,,-62,,
Wed Jan  5 18:57:15 2011,1294234035.53,1294234038.31,-83,-77,,,,,-83,,,,,-68,,,-52,-81,
Wed Jan  5 18:57:38 2011,1294234058.37,1294234061.25,-83,-79,,,,,-84,,,,,-67,,-73,-51,,
Wed Jan  5 18:58:01 2011,1294234081.32,1294234084.09,,-81,,,,,-82,,,,,,,-73,-67,-82,
Wed Jan  5 18:58:24 2011,1294234104.16,1294234107.03,,,,,,,-82,,,,,-73,,-63,-55,-80,
Wed Jan  5 18:58:47 2011,1294234127.1,1294234129.88,,,,,,,-80,,,,,-68,,-61,-57,-81,
Wed Jan  5 18:59:09 2011,1294234149.95,1294234152.93,-84,,,,,,-81,,,,,-70,,-63,,-79,
Wed Jan  5 18:59:33 2011,1294234173.01,1294234175.88,-82,,,,,,-82,,,,,-70,,-66,,,
Wed Jan  5 18:59:55 2011,1294234195.95,1294234198.73,,,,,,,-81,,,,,-69,,-74,,-82,
Wed Jan  5 19:00:18 2011,1294234218.78,1294234221.65,-81,-77,,,,,-82,,,,,-73,,-69,-68,-81,
Wed Jan  5 19:00:41 2011,1294234241.71,1294234244.59,-82,-75,,,,,-78,,,,,-69,,-64,-58,-81,
Wed Jan  5 19:01:04 2011,1294234264.66,1294234267.53,,,,,,,-81,,,,,-72,,-63,,-80,
Wed Jan  5 19:01:27 2011,1294234287.59,1294234290.37,,-75,,,,,-81,,,,,-72,,,,-82,
Wed Jan  5 19:01:50 2011,1294234310.44,1294234313.31,-81,-76,,,,,-81,,,,,-67,,-73,-56,-81,
Wed Jan  5 19:02:33 2011,1294234353.44,1294234356.21,-82,,,,,,-80,,,,,-69,,,,,
Wed Jan  5 19:02:56 2011,1294234376.28,1294234379.06,-82,-75,,,,,-81,,,,,-64,,,,,
Wed Jan  5 19:03:19 2011,1294234399.12,1294234401.9,-80,,,,,,-80,,,,,-70,,-66,-57,,
Wed Jan  5 19:03:41 2011,1294234421.97,1294234424.75,,-75,,,,,-81,,,,,-71,,,-55,-82,
Wed Jan  5 19:04:04 2011,1294234444.82,1294234447.7,-82,,,,,,-81,,,,,-70,,-71,,,
Wed Jan  5 19:04:27 2011,1294234467.76,1294234470.53,-82,,,,,,-81,,,,,-63,,-71,,-81,
Wed Jan  5 19:04:50 2011,1294234490.6,1294234493.37,-83,,,,,,-82,,,,,-78,,-67,,-81,
Wed Jan  5 19:05:33 2011,1294234533.52,1294234536.39,-82,,,,,,-81,,,,,-71,,-67,-72,,
Wed Jan  5 19:05:56 2011,1294234556.47,1294234559.25,,,,,,,-81,,,,,,,-68,-67,-82,
Wed Jan  5 19:06:19 2011,1294234579.32,1294234582.1,-82,-75,,,,,-81,,,,,-70,,-66,-66,,
Wed Jan  5 19:06:42 2011,1294234602.17,1294234605.04,-81,-75,,,,,-80,,,,,-77,,,-63,-82,
Wed Jan  5 19:07:05 2011,1294234625.1,1294234627.88,,,,,,,-82,,,,,,,-67,,,
Wed Jan  5 19:07:27 2011,1294234647.95,1294234650.72,-82,,,,,,-81,,,,,,,-69,,,
Wed Jan  5 19:07:50 2011,1294234670.77,1294234673.55,-82,,,,,,,,,,,-63,,,-57,-81,
Wed Jan  5 19:08:33 2011,1294234713.68,1294234716.45,,,,,,,-81,,,,,-76,,,,,
Wed Jan  5 19:08:56 2011,1294234736.52,1294234739.39,-82,,,,,,-81,,,,,-69,,-77,-63,-82,
Wed Jan  5 19:09:19 2011,1294234759.46,1294234762.23,-82,,,,,,-81,,,,,-76,,-70,,-82,
Wed Jan  5 19:09:42 2011,1294234782.29,1294234785.16,-84,,,,,,-80,,,,,-63,,,-67,-82,
Wed Jan  5 19:10:05 2011,1294234805.23,1294234808.0,,-74,,,,,-80,,,,,-69,,,,,
Wed Jan  5 19:10:28 2011,1294234828.07,1294234830.95,-83,-76,,,,,-81,,,-87,,-62,,,-63,-82,
Wed Jan  5 19:10:51 2011,1294234851.0,1294234853.77,-82,-78,,,,,,,,,,-67,,,-54,-82,
Wed Jan  5 19:11:33 2011,1294234893.91,1294234896.69,-82,-76,,,,,-81,,,,,-72,,-70,-58,,
Wed Jan  5 19:11:56 2011,1294234916.75,1294234919.64,-82,-75,,,,,,,,,,-66,,,-57,-81,
Wed Jan  5 19:12:19 2011,1294234939.71,1294234942.58,-83,-77,,,,,-81,,,,,-65,,-73,-69,,
Wed Jan  5 19:12:42 2011,1294234962.66,1294234965.43,-82,,,,,,-81,,,,,,,-67,,,
Wed Jan  5 19:13:05 2011,1294234985.49,1294234988.27,-82,-75,,,,,-80,,,,,-64,,,-63,,
Wed Jan  5 19:13:28 2011,1294235008.34,1294235011.22,-82,-76,,,,,-80,,,,,-63,,,,,
Wed Jan  5 19:13:51 2011,1294235031.29,1294235034.07,,-73,,,,,,,,,,-61,,-66,-54,,
Wed Jan  5 19:14:34 2011,1294235074.19,1294235077.06,-83,-76,,,,,-81,,,,,-78,,-69,-70,,
Wed Jan  5 19:14:57 2011,1294235097.12,1294235100.0,-83,-77,-85,,,,-80,,,,,-69,,,-62,,
Wed Jan  5 19:15:20 2011,1294235120.06,1294235122.94,-82,-75,,,,,-82,,,,,-75,,-72,,,
Wed Jan  5 19:15:43 2011,1294235143.01,1294235145.78,-82,-78,,,,,-81,,,,,-69,,-68,-63,,
Wed Jan  5 19:16:05 2011,1294235165.85,1294235168.63,-82,-76,,,,,-81,,,,,-72,,-69,-54,,
Wed Jan  5 19:16:28 2011,1294235188.7,1294235191.58,-80,,,,,,-82,,,,,-70,,-79,-68,-80,
Wed Jan  5 19:16:51 2011,1294235211.65,1294235214.53,,,,,,,-82,,,,,-70,,-76,-57,,
Wed Jan  5 19:17:34 2011,1294235254.66,1294235257.44,-80,,,,,,,,,,,-73,,-75,-60,-82,
Wed Jan  5 19:17:57 2011,1294235277.5,1294235280.38,-82,,,,,,,,,,,,,,-59,,
Wed Jan  5 19:18:20 2011,1294235300.44,1294235303.21,-80,-75,,,,,-81,,,,,-76,,-74,-62,,
Wed Jan  5 19:18:43 2011,1294235323.28,1294235326.05,,,,,,,-81,,,,,-77,,-69,-56,,
Wed Jan  5 19:19:06 2011,1294235346.11,1294235348.89,-83,,,,,,-82,,,,,,,,-69,-81,
Wed Jan  5 19:19:28 2011,1294235368.95,1294235371.73,-81,,,,,,-82,,,,,-77,,-68,-64,,
Wed Jan  5 19:19:51 2011,1294235391.8,1294235394.68,,-76,,,,,-81,,,,,-67,-87,-67,-70,-81,
Wed Jan  5 19:20:34 2011,1294235434.82,1294235437.69,-81,,,,,,,,,,,-70,,-82,,-80,
Wed Jan  5 19:20:57 2011,1294235457.76,1294235460.63,-83,,,,,,,,,,,-70,,-81,-56,,
Wed Jan  5 19:21:20 2011,1294235480.69,1294235483.57,-83,,,,,,-82,,,,,-69,,-79,-54,-81,
Wed Jan  5 19:21:43 2011,1294235503.63,1294235506.5,-83,,,,,,,,,,,,,-83,-72,-80,
Wed Jan  5 19:22:06 2011,1294235526.57,1294235529.45,-82,,,,,,,,,,,-69,,,,-81,
Wed Jan  5 19:22:29 2011,1294235549.53,1294235552.4,-82,-78,,,,,,,,,,-70,,,,,
Wed Jan  5 19:22:52 2011,1294235572.45,1294235575.22,-83,,,,,,,,,,,-72,,,,,
Wed Jan  5 19:23:15 2011,1294235595.3,1294235598.08,-81,,,,,,-81,,,,,-75,,-67,-59,-80,
Wed Jan  5 19:23:38 2011,1294235618.15,1294235621.02,-81,,,,,,-81,,,,,-80,,-69,,,
Wed Jan  5 19:24:01 2011,1294235641.08,1294235643.85,,,,,,,-80,,,,,,,-73,,-81,
Wed Jan  5 19:24:23 2011,1294235663.91,1294235666.69,-82,,,,,,-81,,,,,-73,,-73,-67,-80,
Wed Jan  5 19:24:46 2011,1294235686.77,1294235689.54,-82,,,,,,-79,,,,,,,,,-80,
Wed Jan  5 19:25:09 2011,1294235709.6,1294235712.47,,,,,,,-80,,,,,-70,,,-54,-80,
Wed Jan  5 19:25:32 2011,1294235732.55,1294235735.32,-81,,,,,,-81,,,,,-62,,,-60,-80,
Wed Jan  5 19:25:55 2011,1294235755.38,1294235758.26,,,,,,,,,,,,-61,,,-66,-79,
Wed Jan  5 19:26:18 2011,1294235778.33,1294235781.1,,,,,,,-81,,,,,-62,,-79,-54,-81,
