"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",NA
"179",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184",NA
"185",NA
"186",NA
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",NA
"221",NA
"222",NA
"223",NA
"224",NA
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236",NA
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",NA
"263",NA
"264",NA
"265",NA
"266",NA
"267",NA
"268",NA
"269",NA
"270",NA
"271",NA
"272",NA
"273",NA
"274",NA
"275",NA
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",NA
"282",NA
"283",NA
"284",NA
"285",NA
"286",NA
"287",NA
"288",NA
"289",NA
"290",NA
"291",NA
"292",NA
"293",NA
"294",NA
"295",NA
"296",NA
"297",NA
"298",NA
"299",NA
"300",-81.2833333333333
"301",-81.28
"302",-81.28
"303",-81.2833333333333
"304",-81.2966666666667
"305",-81.2966666666667
"306",-81.31
"307",-81.31
"308",-81.32
"309",-81.3266666666667
"310",-81.3333333333333
"311",-81.3333333333333
"312",-81.3366666666667
"313",-81.3366666666667
"314",-81.3366666666667
"315",-81.34
"316",-81.3366666666667
"317",-81.3366666666667
"318",-81.3466666666667
"319",-81.35
"320",-81.34
"321",-81.35
"322",-81.3566666666667
"323",-81.3666666666667
"324",-81.3733333333333
"325",-81.3733333333333
"326",-81.3666666666667
"327",-81.37
"328",-81.3633333333333
"329",-81.3666666666667
"330",-81.3633333333333
"331",-81.37
"332",-81.3733333333333
"333",-81.38
"334",-81.38
"335",-81.3833333333333
"336",-81.39
"337",-81.3966666666667
"338",-81.3933333333333
"339",-81.4
"340",-81.4033333333333
"341",-81.3966666666667
"342",-81.39
"343",-81.3966666666667
"344",-81.4033333333333
"345",-81.4
"346",-81.4
"347",-81.4
"348",-81.4
"349",-81.4
"350",-81.4
"351",-81.3966666666667
"352",-81.39
"353",-81.39
"354",-81.38
"355",-81.38
"356",-81.3833333333333
"357",-81.3833333333333
"358",-81.38
"359",-81.38
"360",-81.38
"361",-81.3866666666667
"362",-81.3933333333333
"363",-81.3966666666667
"364",-81.3833333333333
"365",-81.3833333333333
"366",-81.3733333333333
"367",-81.3733333333333
"368",-81.3733333333333
"369",-81.3733333333333
"370",-81.3766666666667
"371",-81.3733333333333
"372",-81.36
"373",-81.36
"374",-81.37
"375",-81.37
"376",-81.37
"377",-81.3766666666667
"378",-81.3733333333333
"379",-81.36
"380",-81.3533333333333
"381",-81.36
"382",-81.3533333333333
"383",-81.3533333333333
"384",-81.3433333333333
"385",-81.3366666666667
"386",-81.3333333333333
"387",-81.3233333333333
"388",-81.31
"389",-81.2966666666667
"390",-81.29
"391",-81.2733333333333
"392",-81.26
"393",-81.25
"394",-81.2433333333333
"395",-81.2433333333333
"396",-81.2333333333333
"397",-81.2333333333333
"398",-81.2266666666667
"399",-81.2266666666667
"400",-81.2233333333333
"401",-81.2333333333333
"402",-81.2366666666667
"403",-81.23
"404",-81.23
"405",-81.23
"406",-81.2166666666667
"407",-81.2233333333333
"408",-81.2133333333333
"409",-81.2066666666667
"410",-81.1966666666667
"411",-81.1933333333333
"412",-81.1866666666667
"413",-81.1833333333333
"414",-81.17
"415",-81.1633333333333
"416",-81.1533333333333
"417",-81.15
"418",-81.15
"419",-81.14
"420",-81.1333333333333
"421",-81.1233333333333
"422",-81.1166666666667
"423",-81.12
"424",-81.1066666666667
"425",-81.11
"426",-81.1033333333333
"427",-81.0966666666667
"428",-81.0833333333333
"429",-81.0733333333333
"430",-81.0633333333333
"431",-81.0633333333333
"432",-81.0666666666667
"433",-81.0566666666667
"434",-81.0566666666667
"435",-81.06
"436",-81.0633333333333
"437",-81.0566666666667
"438",-81.05
"439",-81.04
"440",-81.04
"441",-81.0366666666667
"442",-81.0333333333333
"443",-81.0333333333333
"444",-81.0233333333333
"445",-81.0133333333333
"446",-81.01
"447",-81.01
"448",-81.0066666666667
"449",-81.0066666666667
"450",-81.0033333333333
"451",-80.9933333333333
"452",-80.9866666666667
"453",-80.9733333333333
"454",-80.9633333333333
"455",-80.9533333333333
"456",-80.9433333333333
"457",-80.9366666666667
"458",-80.93
"459",-80.9233333333333
"460",-80.9233333333333
"461",-80.91
"462",-80.91
"463",-80.9
"464",-80.8866666666667
"465",-80.88
"466",-80.8733333333333
"467",-80.8766666666667
"468",-80.8733333333333
"469",-80.8766666666667
"470",-80.88
"471",-80.8933333333333
"472",-80.89
"473",-80.8966666666667
"474",-80.9
"475",-80.8933333333333
"476",-80.8866666666667
"477",-80.88
"478",-80.88
"479",-80.8666666666667
"480",-80.88
"481",-80.89
"482",-80.89
"483",-80.8866666666667
"484",-80.8766666666667
"485",-80.8733333333333
"486",-80.86
"487",-80.8566666666667
"488",-80.8433333333333
"489",-80.8333333333333
"490",-80.82
"491",-80.8133333333333
"492",-80.8033333333333
"493",-80.7833333333333
"494",-80.7866666666667
"495",-80.7866666666667
"496",-80.79
"497",-80.7866666666667
"498",-80.77
"499",-80.7666666666667
"500",-80.7533333333333
"501",-80.74
"502",-80.7266666666667
"503",-80.7133333333333
"504",-80.7033333333333
"505",-80.7033333333333
"506",-80.69
"507",-80.6833333333333
"508",-80.6733333333333
"509",-80.6733333333333
"510",-80.66
"511",-80.66
"512",-80.6566666666667
"513",-80.65
"514",-80.65
"515",-80.6466666666667
"516",-80.6466666666667
"517",-80.65
"518",-80.6566666666667
"519",-80.6566666666667
"520",-80.6566666666667
"521",-80.6466666666667
"522",-80.64
"523",-80.6466666666667
"524",-80.6433333333333
"525",-80.6333333333333
"526",-80.6266666666667
"527",-80.6233333333333
"528",-80.6133333333333
"529",-80.61
"530",-80.6033333333333
"531",-80.5966666666667
"532",-80.59
"533",-80.5866666666667
"534",-80.58
"535",-80.5666666666667
"536",-80.5666666666667
"537",-80.55
"538",-80.54
"539",-80.54
"540",-80.53
"541",-80.53
"542",-80.52
"543",-80.5166666666667
"544",-80.5066666666667
"545",-80.4933333333333
"546",-80.4866666666667
"547",-80.4833333333333
"548",-80.4766666666667
"549",-80.4633333333333
"550",-80.4533333333333
"551",-80.44
"552",-80.4366666666667
"553",-80.4333333333333
"554",-80.4333333333333
"555",-80.4266666666667
"556",-80.4233333333333
"557",-80.41
"558",-80.4066666666667
"559",-80.41
"560",-80.4133333333333
"561",-80.4066666666667
"562",-80.4133333333333
"563",-80.41
"564",-80.3966666666667
"565",-80.3866666666667
"566",-80.3733333333333
"567",-80.37
"568",-80.3633333333333
"569",-80.36
"570",-80.3566666666667
"571",-80.35
"572",-80.3466666666667
"573",-80.3466666666667
"574",-80.3433333333333
"575",-80.33
"576",-80.33
"577",-80.3233333333333
"578",-80.3133333333333
"579",-80.3133333333333
"580",-80.3166666666667
"581",-80.3133333333333
"582",-80.3166666666667
"583",-80.3133333333333
"584",-80.31
"585",-80.3
"586",-80.2966666666667
"587",-80.2933333333333
"588",-80.2833333333333
"589",-80.2866666666667
"590",-80.28
"591",-80.28
"592",-80.2833333333333
"593",-80.2866666666667
"594",-80.2833333333333
