starttime,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel
1294233943.97,00:0C:42:68:DE:D3,-84,00:1C:F0:CB:EC:92,-51,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,,,
1294233966.91,,,,,,,,,,,,,,,,,,,,,,,,
1294233989.75,00:1C:F0:CB:EC:5B,-76,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,,,,,,,,,
1294234012.7,00:1C:F0:CB:EC:5B,-76,,,,,,,,,,,,,,,,,,,,,,
1294234035.53,00:19:5B:77:A5:EE,-83,00:1C:F0:CB:EC:92,-52,00:15:6D:65:17:B6,-77,00:1C:F0:CB:EC:5B,-68,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,,,
1294234058.37,00:1C:F0:CB:EC:92,-51,00:15:6D:65:17:B6,-79,00:1C:F0:CB:EC:5B,-67,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:89,-73,,,,,,,,,,,,,,
1294234081.32,00:1C:F0:CB:EC:92,-67,00:15:6D:65:17:B6,-81,00:1C:F0:CB:EC:89,-73,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,
1294234104.16,00:1C:F0:CB:EC:92,-55,00:1C:F0:CB:EC:89,-63,00:1C:F0:CB:EC:95,-80,00:1C:F0:CB:EC:5B,-73,,,,,,,,,,,,,,,,
1294234127.1,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:89,-61,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:5B,-68,,,,,,,,,,,,,,,,
1294234149.95,00:1C:F0:CB:EC:89,-63,00:1C:F0:CB:EC:95,-79,00:1C:F0:CB:EC:5B,-70,00:0C:42:68:DE:D3,-84,,,,,,,,,,,,,,,,
1294234173.01,00:1C:F0:CB:EC:89,-66,00:1C:F0:CB:EC:5B,-70,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,
1294234195.95,00:1C:F0:CB:EC:89,-74,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,,,
1294234218.78,00:1C:F0:CB:EC:89,-69,00:1C:F0:CB:EC:5B,-73,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:92,-68,00:15:6D:65:17:B6,-77,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,
1294234241.71,00:1C:F0:CB:EC:89,-64,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:92,-58,00:15:6D:65:17:B6,-75,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,
1294234264.66,00:1C:F0:CB:EC:89,-63,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:95,-80,,,,,,,,,,,,,,,,,,
1294234287.59,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:95,-82,00:15:6D:65:17:B6,-75,,,,,,,,,,,,,,,,,,
1294234310.44,00:1C:F0:CB:EC:5B,-67,00:1C:F0:CB:EC:95,-81,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:92,-56,00:1C:F0:CB:EC:89,-73,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,
1294234353.44,00:1C:F0:CB:EC:5B,-69,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,,,
1294234376.28,00:1C:F0:CB:EC:5B,-64,00:0C:42:68:DE:D3,-82,00:15:6D:65:17:B6,-75,,,,,,,,,,,,,,,,,,
1294234399.12,00:1C:F0:CB:EC:5B,-70,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:89,-66,00:0C:42:68:DE:D3,-80,,,,,,,,,,,,,,,,
1294234421.97,00:1C:F0:CB:EC:5B,-71,00:1C:F0:CB:EC:92,-55,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,
1294234444.82,00:1C:F0:CB:EC:5B,-70,00:1C:F0:CB:EC:89,-71,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,
1294234467.76,00:1C:F0:CB:EC:5B,-63,00:1C:F0:CB:EC:89,-71,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,
1294234490.6,00:1C:F0:CB:EC:5B,-78,00:1C:F0:CB:EC:89,-67,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,
1294234533.52,00:1C:F0:CB:EC:5B,-71,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-72,00:1C:F0:CB:EC:89,-67,,,,,,,,,,,,,,,,
1294234556.47,00:1C:F0:CB:EC:92,-67,00:1C:F0:CB:EC:89,-68,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,,,
1294234579.32,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:5B,-70,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-66,00:1C:F0:CB:EC:89,-66,,,,,,,,,,,,,,
1294234602.17,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:5B,-77,00:0C:42:68:DE:D3,-81,00:1C:F0:CB:EC:92,-63,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,
1294234625.1,00:1C:F0:CB:EC:89,-67,,,,,,,,,,,,,,,,,,,,,,
1294234647.95,00:1C:F0:CB:EC:89,-69,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,,,
1294234670.77,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:5B,-63,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,,,
1294234713.68,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,,,,,,,,,
1294234736.52,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:89,-77,00:1C:F0:CB:EC:92,-63,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,
1294234759.46,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-76,00:1C:F0:CB:EC:89,-70,,,,,,,,,,,,,,,,
1294234782.29,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-84,00:1C:F0:CB:EC:5B,-63,00:1C:F0:CB:EC:92,-67,,,,,,,,,,,,,,,,
1294234805.23,00:1C:F0:CB:EC:5B,-69,00:15:6D:65:17:B6,-74,,,,,,,,,,,,,,,,,,,,
1294234828.07,00:1C:F0:CB:EC:5B,-62,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:E9:25,-87,00:1C:F0:CB:EC:92,-63,,,,,,,,,,,,
1294234851.0,00:15:6D:65:17:B6,-78,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-54,,,,,,,,,,,,,,,,
1294234893.91,00:1C:F0:CB:EC:89,-70,00:1C:F0:CB:EC:92,-58,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:5B,-72,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,
1294234916.75,00:1C:F0:CB:EC:92,-57,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:5B,-66,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,
1294234939.71,00:1C:F0:CB:EC:92,-69,00:1C:F0:CB:EC:5B,-65,00:1C:F0:CB:EC:89,-73,00:15:6D:65:17:B6,-77,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,
1294234962.66,00:1C:F0:CB:EC:89,-67,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,,,,,,,
1294234985.49,00:19:5B:77:A5:EE,-80,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:92,-63,00:1C:F0:CB:EC:5B,-64,,,,,,,,,,,,,,,,
1294235008.34,00:19:5B:77:A5:EE,-80,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:5B,-63,,,,,,,,,,,,,,,,,,
1294235031.29,00:1C:F0:CB:EC:5B,-61,00:1C:F0:CB:EC:92,-54,00:1C:F0:CB:EC:89,-66,,,,,,,,,,,,,,,,,,
1294235074.19,00:1C:F0:CB:EC:92,-70,00:1C:F0:CB:EC:89,-69,00:19:5B:77:A5:EE,-81,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:5B,-78,,,,,,,,,,,,,,
1294235097.12,00:1C:F0:CB:EC:92,-62,00:19:5B:77:A5:EE,-80,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:5B,-69,00:15:6D:67:1D:F3,-85,,,,,,,,,,,,,,
1294235120.06,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-75,00:1C:F0:CB:EC:89,-72,00:19:5B:77:A5:EE,-82,,,,,,,,,,,,,,,,
1294235143.01,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:89,-68,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-63,,,,,,,,,,,,,,
1294235165.85,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:89,-69,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-54,,,,,,,,,,,,,,
1294235188.7,00:1C:F0:CB:EC:5B,-70,00:1C:F0:CB:EC:89,-79,00:19:5B:77:A5:EE,-82,00:1C:F0:CB:EC:92,-68,00:1C:F0:CB:EC:95,-80,,,,,,,,,,,,,,
