TimeMs,00:1c:f0:cb:ec:92.APRSSI
1305189380547,-59
1305189391118,-80
1305189391690,-81
1305189399768,
1305189401240,-80
1305189402729,-80
1305189404131,-84
1305189405747,-80
1305189407543,-76
1305189409194,-71
1305189411012,-67
1305189412292,-65
1305189413746,-64
1305189415244,-66
1305189417059,-64
1305189418315,-65
1305189419564,-61
1305189420858,-64
1305189422112,-65
1305189423459,-59
1305189424727,-63
1305189425974,
1305189427236,-62
1305189428942,-58
1305189430698,-52
1305189432530,-59
1305189434035,-59
1305189435617,-62
1305189437127,-59
1305189438621,-63
1305189440401,-64
1305189442178,-75
1305189443725,-70
1305189446092,-73
1305189447548,
1305189449282,
1305189451194,
1305189451248,
1305189451951,
1305189497788,
1305189499195,
1305189500517,
1305189501770,-93
1305189503021,
1305189504259,
1305189505588,
1305189506891,
1305189508100,
1305189509445,
1305189510702,
1305189511928,
1305189513187,
1305189514464,
1305189515698,-90
1305189516983,
1305189518201,
1305189519449,-87
1305189520718,
1305189521962,
1305189523234,-84
1305189524460,-81
1305189525692,
1305189526961,
1305189528187,-76
1305189529480,
1305189530711,-56
1305189531979,-75
1305189533342,-58
1305189534706,-65
1305189536240,-61
1305189537967,-57
1305189539402,-64
1305189540819,-57
1305189542185,-74
1305189543939,-72
1305189545708,-73
1305189547578,-74
1305189549385,-73
1305189551051,
1305189552723,-74
1305189554483,-76
1305189556129,-84
1305189557612,-84
1305189558062,
1305189558733,-80
1305189575211,-63
1305189585767,-70
1305189596296,-61
1305189606940,-90
1305189617587,-93
1305189618885,
1305189620113,
1305189621312,
1305189622523,
1305189623751,
1305189625038,
1305189626314,
1305189627582,
1305189628809,
1305189630057,
1305189631308,
1305189632602,
1305189633798,
1305189635120,
1305189636612,
1305189638004,
1305189639284,
1305189640671,
1305189641873,
1305189643157,
1305189644390,
1305189645679,
1305189646932,
1305189648343,
1305189649624,
1305189650938,
1305189652146,
1305189653360,
1305189654622,
1305189655828,
1305189657066,
1305189658389,-93
1305189659626,-88
1305189660822,
1305189662111,-85
1305189663371,-84
1305189664656,-84
1305189665894,-94
1305189667172,-86
1305189668452,-81
1305189669782,-67
