TimeMs,00:1c:f0:cb:ec:95.APRSSI
1305176282956,-81
1305176305496,-82
1305176319119,-85
1305176330634,-83
1305176341671,-86
1305176351206,-86
1305176359974,-86
1305176365068,-84
1305176372512,-82
1305176378299,-86
1305176385941,-85
1305176391679,-83
1305176399542,-86
1305176406998,-86
1305176414122,-88
1305176419127,-85
1305176426316,-85
1305176431620,-85
1305176435540,-85
1305176441835,-85
1305176447375,-84
1305176451904,-88
1305176458253,-88
1305176466191,-92
1305176472996,-88
1305176478072,-85
1305176485736,-84
1305176490742,-85
1305176495430,-83
1305176501976,-92
1305176507019,-85
1305176511551,-87
1305176517172,-86
1305176522507,-86
1305176526967,-84
1305176532378,-84
1305176538389,-85
1305176543112,-86
1305176547997,-85
1305176554105,-87
1305176558793,-86
1305176563918,-86
1305176570143,-84
1305176575364,-86
1305176580491,-85
1305176586389,-84
1305176591687,-85
1305176594990,-85
1305176598276,-83
1305176604758,-84
1305176610418,-81
1305176613437,-85
1305176616814,-86
1305176623448,-85
1305176628760,-84
1305176632254,-84
1305176636038,-84
1305176641795,-86
1305176647130,-86
1305176650381,-87
1305176654649,-84
1305176657532,-84
1305176662376,-83
1305176666991,-87
1305176671251,-84
1305176675336,-85
1305176678097,-86
1305176682990,-85
1305176687453,-84
1305176691454,-91
1305176695215,-85
1305176698282,-88
1305176703090,-82
1305176707231,-84
1305176710637,-84
1305176714252,-83
1305176717480,-92
1305176722717,-84
1305176726123,-86
1305176729617,-86
1305176733718,-86
1305176737171,-83
1305176742382,-92
1305176746181,-83
1305176750079,-87
1305176754144,-83
1305176757868,-83
1305176763282,-85
1305176767085,-87
1305176770765,-87
1305176774290,-86
1305176778027,-87
1305176783879,-85
1305176787399,-84
1305176791048,-87
1305176794483,-82
1305176798551,-83
1305176803745,-84
1305176806776,-82
1305176810567,-88
1305176814333,-92
1305176817749,-83
1305176822713,-92
1305176825708,-87
1305176829595,-86
1305176832682,-84
1305176836137,-83
1305176841015,-85
1305176844428,-84
1305176848486,-83
1305176851582,-82
1305176855522,-85
1305176860127,-82
1305176863774,-85
1305176867791,-85
1305176871017,-85
1305176874512,-84
1305176879857,-84
1305176882623,-85
1305176886312,-84
1305176889722,-83
1305176893214,-84
1305176896720,-84
1305176899988,-84
1305176904845,-85
1305176908366,-85
1305176911896,-84
1305176915461,-87
1305176918917,-85
1305176923203,-85
1305176926899,-86
1305176930519,-82
1305176933961,-89
1305176937512,-87
1305176941020,-86
1305176945475,-83
1305176949141,-88
1305176952494,-85
1305176955792,-84
1305176959295,-86
1305176963004,-87
1305176967950,-87
1305176971739,-86
1305176975388,-85
1305176978927,-86
1305176982650,-90
1305176986238,-84
1305176990833,-86
1305176994878,-84
1305176998243,-86
1305177001826,-83
1305177005223,-85
1305177008713,-89
1305177013712,-84
1305177017421,-86
1305177020240,-84
1305177024245,-85
1305177027748,-84
1305177031174,-85
1305177036325,-86
1305177040049,-89
1305177043405,-87
1305177047232,-86
1305177050801,-92
1305177054190,-92
1305177058628,-84
1305177062108,-86
1305177065536,-92
1305177068714,-84
1305177072174,-85
1305177075419,-85
1305177080041,-86
1305177084475,-87
1305177087618,-85
1305177092189,-82
1305177095712,-82
1305177099215,-84
1305177103992,-84
1305177108420,-86
1305177111076,-86
1305177115667,-85
1305177118800,-85
1305177122277,-86
1305177127587,-83
1305177131543,-82
1305177134563,-85
1305177138468,-86
1305177141024,-83
1305177145002,-86
1305177149934,-84
1305177153908,-86
1305177156906,-83
1305177160681,-83
1305177163393,-84
1305177167302,-86
1305177171470,-85
1305177175206,-86
1305177177965,-87
1305177181502,-86
1305177184193,-84
1305177187860,-85
1305177192098,-85
1305177195500,-87
1305177198521,-83
1305177202075,-85
1305177205063,-83
1305177208998,-86
1305177213569,-86
1305177217345,-86
1305177220701,-84
1305177224340,-87
1305177227652,-85
1305177231452,-86
1305177235682,-87
1305177239908,-86
1305177243335,-86
1305177247327,-87
1305177250840,-84
1305177254481,-87
1305177258982,-86
1305177261542,-86
1305177264292,-86
1305177267584,-87
1305177271513,-84
1305177274831,-92
1305177277987,-86
1305177282330,-86
1305177285376,-84
1305177288211,-87
1305177291398,-84
1305177294636,-86
1305177297823,-85
1305177301329,-86
1305177306055,-85
1305177309072,-88
1305177311865,-87
1305177315011,-86
1305177318284,-88
1305177321249,-90
1305177324524,-85
